"﻿AirportID";"Name";"City";"Country";"IATA";"ICAO";"Latitude";"Longitude";"Altitude"
11181;"Saquarema Airport";"Saquarema";"Brazil";"\N";"SDSK";-22.9297;-42.5069;26
11182;"Drumheller Municipal Airport";"Drumheller";"Canada";"\N";"CEG4";51.4964;-112.749;2597
11193;"Mwene-Ditu Airport";"Mwene-Ditu";"Congo (Kinshasa)";"\N";"FZWE";-6.983;23.083;3198
11194;"Tunta Airport";"Kabinda";"Congo (Kinshasa)";"KBN";"FZWT";-6.133;24.483;2766
11195;"Ikela Airport";"Ikela";"Congo (Kinshasa)";"IKL";"FZGV";-1.04811;23.3725;1283
11198;"Aripuanã Airport";"Aripuana";"Brazil";"AIR";"SWRP";-10.2503;-59.3839;623
11199;"Juruena Airport";"Juruena";"Brazil";"JRN";"SWJU";-10.3058;-58.4894;525
11200;"Juína Airport";"Juina";"Brazil";"JIA";"SWJN";-11.4194;-58.7017;1083
11201;"Vila Rica Airport";"Vila Rica";"Brazil";"VLP";"SWVC";-9.97944;-51.1422;892
11202;"Inácio Luís do Nascimento Airport";"Juara";"Brazil";"JUA";"SIZX";-11.2966;-57.5495;870
11203;"Cáceres Airport";"Caceres";"Brazil";"CCX";"SWKC";-16.0436;-57.6299;492
11204;"Posto Leonardo Vilas Boas Airport";"Chapada dos Guimaraes";"Brazil";"\N";"SWPL";-12.1983;-53.3817;1083
11205;"Tangará da Serra Airport";"Tangara da Serra";"Brazil";"\N";"SWTS";-14.662;-57.4435;1460
